Point(X = 2318972.297, Y = 5807555.732, Z = 1638.087)
Point(X = 2318982.822, Y = 5807538.791, Z = 1637.971)
Point(X = 2318990.669, Y = 5807526.007, Z = 1637.884)
Point(X = 2318995.702, Y = 5807517.366, Z = 1637.826)
Point(X = 2318999.476, Y = 5807510.885, Z = 1637.782)
Point(X = 2319004.544, Y = 5807502.264, Z = 1637.725)
Point(X = 2319013.824, Y = 5807487.428, Z = 1637.624)
Point(X = 2319024.444, Y = 5807470.480, Z = 1637.509)
Point(X = 2319032.765, Y = 5807457.152, Z = 1637.419)
Point(X = 2319034.486, Y = 5807453.852, Z = 1637.397)
Point(X = 2319046.525, Y = 5807441.840, Z = 1637.301)
Point(X = 2319054.341, Y = 5807437.548, Z = 1637.210)
Point(X = 2319060.836, Y = 5807433.859, Z = 1637.164)
Point(X = 2319067.379, Y = 5807430.404, Z = 1637.092)
Point(X = 2319078.279, Y = 5807424.377, Z = 1637.020)
Point(X = 2319083.754, Y = 5807421.591, Z = 1636.984)
Point(X = 2319092.497, Y = 5807417.514, Z = 1636.929)
Point(X = 2319099.944, Y = 5807413.973, Z = 1636.881)
Point(X = 2319114.482, Y = 5807407.132, Z = 1636.789)
Point(X = 2319126.191, Y = 5807401.673, Z = 1636.653)
Point(X = 2319139.025, Y = 5807395.423, Z = 1636.466)
Point(X = 2319157.523, Y = 5807387.834, Z = 1636.202)
Point(X = 2319180.317, Y = 5807380.743, Z = 1635.886)
Point(X = 2319185.320, Y = 5807379.865, Z = 1635.819)
Point(X = 2319196.305, Y = 5807378.788, Z = 1635.673)
Point(X = 2319216.249, Y = 5807378.951, Z = 1635.409)
Point(X = 2319223.491, Y = 5807380.009, Z = 1635.312)
Point(X = 2319232.959, Y = 5807381.035, Z = 1635.059)
Point(X = 2319240.758, Y = 5807381.501, Z = 1634.710)
Point(X = 2319256.077, Y = 5807382.377, Z = 1634.654)
Point(X = 2319276.029, Y = 5807383.723, Z = 1634.580)
Point(X = 2319295.789, Y = 5807386.759, Z = 1634.507)
Point(X = 2319314.658, Y = 5807393.070, Z = 1634.434)
Point(X = 2319332.212, Y = 5807402.638, Z = 1634.361)
Point(X = 2319348.588, Y = 5807414.038, Z = 1634.288)
Point(X = 2319362.150, Y = 5807428.736, Z = 1634.215)
Point(X = 2319369.156, Y = 5807436.657, Z = 1634.177)
Point(X = 2319376.341, Y = 5807445.697, Z = 1634.124)
Point(X = 2319386.720, Y = 5807460.220, Z = 1634.042)
Point(X = 2319390.995, Y = 5807469.998, Z = 1633.993)
Point(X = 2319394.620, Y = 5807477.703, Z = 1633.954)
Point(X = 2319405.003, Y = 5807502.140, Z = 1633.832)
Point(X = 2319406.477, Y = 5807512.198, Z = 1633.785)
Point(X = 2319409.488, Y = 5807531.029, Z = 1633.698)
Point(X = 2319412.484, Y = 5807548.358, Z = 1633.617)
Point(X = 2319414.788, Y = 5807553.856, Z = 1633.590)
Point(X = 2319425.124, Y = 5807572.641, Z = 1633.492)
Point(X = 2319435.484, Y = 5807589.686, Z = 1633.394)
Point(X = 2319449.183, Y = 5807604.257, Z = 1633.304)
Point(X = 2319461.285, Y = 5807616.732, Z = 1633.226)
Point(X = 2319463.350, Y = 5807618.329, Z = 1633.215)
Point(X = 2319481.431, Y = 5807626.740, Z = 1633.125)
